150
4
0.20	5.10	1.40	3.50
0.20	4.90	1.40	3.00
0.20	4.70	1.30	3.20
0.20	4.60	1.50	3.10
0.20	5.00	1.40	3.60
0.40	5.40	1.70	3.90
0.30	4.60	1.40	3.40
0.20	5.00	1.50	3.40
0.20	4.40	1.40	2.90
0.10	4.90	1.50	3.10
0.20	5.40	1.50	3.70
0.20	4.80	1.60	3.40
0.10	4.80	1.40	3.00
0.10	4.30	1.10	3.00
0.20	5.80	1.20	4.00
0.40	5.70	1.50	4.40
0.40	5.40	1.30	3.90
0.30	5.10	1.40	3.50
0.30	5.70	1.70	3.80
0.30	5.10	1.50	3.80
0.20	5.40	1.70	3.40
0.40	5.10	1.50	3.70
0.20	4.60	1.00	3.60
0.50	5.10	1.70	3.30
0.20	4.80	1.90	3.40
0.20	5.00	1.60	3.00
0.40	5.00	1.60	3.40
0.20	5.20	1.50	3.50
0.20	5.20	1.40	3.40
0.20	4.70	1.60	3.20
0.20	4.80	1.60	3.10
0.40	5.40	1.50	3.40
0.10	5.20	1.50	4.10
0.20	5.50	1.40	4.20
0.10	4.90	1.50	3.10
0.20	5.00	1.20	3.20
0.20	5.50	1.30	3.50
0.10	4.90	1.50	3.10
0.20	4.40	1.30	3.00
0.20	5.10	1.50	3.40
0.30	5.00	1.30	3.50
0.30	4.50	1.30	2.30
0.20	4.40	1.30	3.20
0.60	5.00	1.60	3.50
0.40	5.10	1.90	3.80
0.30	4.80	1.40	3.00
0.20	5.10	1.60	3.80
0.20	4.60	1.40	3.20
0.20	5.30	1.50	3.70
0.20	5.00	1.40	3.30
1.40	7.00	4.70	3.20
1.50	6.40	4.50	3.20
1.50	6.90	4.90	3.10
1.30	5.50	4.00	2.30
1.50	6.50	4.60	2.80
1.30	5.70	4.50	2.80
1.60	6.30	4.70	3.30
1.00	4.90	3.30	2.40
1.30	6.60	4.60	2.90
1.40	5.20	3.90	2.70
1.00	5.00	3.50	2.00
1.50	5.90	4.20	3.00
1.00	6.00	4.00	2.20
1.40	6.10	4.70	2.90
1.30	5.60	3.60	2.90
1.40	6.70	4.40	3.10
1.50	5.60	4.50	3.00
1.00	5.80	4.10	2.70
1.50	6.20	4.50	2.20
1.10	5.60	3.90	2.50
1.80	5.90	4.80	3.20
1.30	6.10	4.00	2.80
1.50	6.30	4.90	2.50
1.20	6.10	4.70	2.80
1.30	6.40	4.30	2.90
1.40	6.60	4.40	3.00
1.40	6.80	4.80	2.80
1.70	6.70	5.00	3.00
1.50	6.00	4.50	2.90
1.00	5.70	3.50	2.60
1.10	5.50	3.80	2.40
1.00	5.50	3.70	2.40
1.20	5.80	3.90	2.70
1.60	6.00	5.10	2.70
1.50	5.40	4.50	3.00
1.60	6.00	4.50	3.40
1.50	6.70	4.70	3.10
1.30	6.30	4.40	2.30
1.30	5.60	4.10	3.00
1.30	5.50	4.00	2.50
1.20	5.50	4.40	2.60
1.40	6.10	4.60	3.00
1.20	5.80	4.00	2.60
1.00	5.00	3.30	2.30
1.30	5.60	4.20	2.70
1.20	5.70	4.20	3.00
1.30	5.70	4.20	2.90
1.30	6.20	4.30	2.90
1.10	5.10	3.00	2.50
1.30	5.70	4.10	2.80
2.50	6.30	6.00	3.30
1.90	5.80	5.10	2.70
2.10	7.10	5.90	3.00
1.80	6.30	5.60	2.90
2.20	6.50	5.80	3.00
2.10	7.60	6.60	3.00
1.70	4.90	4.50	2.50
1.80	7.30	6.30	2.90
1.80	6.70	5.80	2.50
2.50	7.20	6.10	3.60
2.00	6.50	5.10	3.20
1.90	6.40	5.30	2.70
2.10	6.80	5.50	3.00
2.00	5.70	5.00	2.50
2.40	5.80	5.10	2.80
2.30	6.40	5.30	3.20
1.80	6.50	5.50	3.00
2.20	7.70	6.70	3.80
2.30	7.70	6.90	2.60
1.50	6.00	5.00	2.20
2.30	6.90	5.70	3.20
2.00	5.60	4.90	2.80
2.00	7.70	6.70	2.80
1.80	6.30	4.90	2.70
2.10	6.70	5.70	3.30
1.80	7.20	6.00	3.20
1.80	6.20	4.80	2.80
1.80	6.10	4.90	3.00
2.10	6.40	5.60	2.80
1.60	7.20	5.80	3.00
1.90	7.40	6.10	2.80
2.00	7.90	6.40	3.80
2.20	6.40	5.60	2.80
1.50	6.30	5.10	2.80
1.40	6.10	5.60	2.60
2.30	7.70	6.10	3.00
2.40	6.30	5.60	3.40
1.80	6.40	5.50	3.10
1.80	6.00	4.80	3.00
2.10	6.90	5.40	3.10
2.40	6.70	5.60	3.10
2.30	6.90	5.10	3.10
1.90	5.80	5.10	2.70
2.30	6.80	5.90	3.20
2.50	6.70	5.70	3.30
2.30	6.70	5.20	3.00
1.90	6.30	5.00	2.50
2.00	6.50	5.20	3.00
2.30	6.20	5.40	3.40
1.80	5.90	5.10	3.00
